RT,Idiom_lang,relatedness,lang_group,subj
0.76303611,CH-idiom,Control,Bilingual,1
0.780152196,CH-idiom,Control,Bilingual,2
0.7716509,CH-idiom,Control,Bilingual,3
0.786284347,CH-idiom,Control,Bilingual,4
1.155897869,CH-idiom,Control,Bilingual,5
0.668348017,CH-idiom,Control,Bilingual,6
0.966810036,CH-idiom,Control,Bilingual,7
0.60417003,CH-idiom,Control,Bilingual,8
0.55443325,CH-idiom,Control,Bilingual,9
1.147552439,CH-idiom,Control,Bilingual,10
0.743642619,CH-idiom,Control,Bilingual,11
0.739931424,CH-idiom,Control,Bilingual,12
0.696993828,CH-idiom,Control,Bilingual,13
0.738297798,CH-idiom,Control,Bilingual,14
1.377689743,CH-idiom,Control,Bilingual,15
0.741948225,CH-idiom,Control,Bilingual,16
0.726614952,CH-idiom,Control,Bilingual,17
0.829645117,CH-idiom,Control,Bilingual,18
0.651023289,CH-idiom,Control,Bilingual,19
0.741087979,CH-idiom,Control,Bilingual,20
0.653227373,CH-idiom,Control,Bilingual,21
0.820257875,CH-idiom,Control,Bilingual,22
0.690249844,CH-idiom,Control,Bilingual,23
0.768357349,CH-idiom,Control,Bilingual,24
0.852300145,CH-idiom,Control,Bilingual,25
0.711600977,CH-idiom,Control,Bilingual,26
0.658030201,CH-idiom,Control,Bilingual,27
0.744230865,CH-idiom,Control,Bilingual,28
1.141936125,CH-idiom,Control,Bilingual,29
0.772540802,CH-idiom,Control,Bilingual,30
0.829995706,CH-idiom,Control,Bilingual,31
0.774726652,CH-idiom,Control,Bilingual,32
0.7182336,CH-idiom,Control,Bilingual,33
0.901669423,CH-idiom,Control,Bilingual,34
0.832401422,CH-idiom,Control,Bilingual,35
0.674374932,CH-idiom,Control,Bilingual,36
0.748216604,CH-idiom,Control,Bilingual,37
0.79590497,CH-idiom,Control,Bilingual,38
0.975747824,CH-idiom,Control,Bilingual,39
0.990696133,CH-idiom,Control,Bilingual,40
0.720680431,CH-idiom,Control,Bilingual,41
0.687735509,CH-idiom,Control,Bilingual,42
1.122981207,CH-idiom,Control,Bilingual,43
0.827450741,CH-idiom,Control,Bilingual,44
0.784213722,CH-idiom,Control,Bilingual,45
0.69497903,CH-idiom,Control,Bilingual,46
0.704617292,CH-idiom,Control,Bilingual,47
0.658315099,CH-idiom,Control,Bilingual,48
0.880278389,CH-idiom,Control,Bilingual,49
0.819942227,CH-idiom,Control,Bilingual,50
0.855347269,CH-idiom,Control,Bilingual,51
0.902227143,CH-idiom,Control,Bilingual,52
1.138098967,CH-idiom,Control,Bilingual,53
0.790971683,CH-idiom,Control,Monolingual,54
0.63123728,CH-idiom,Control,Monolingual,55
0.553129653,CH-idiom,Control,Monolingual,56
